Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,date,year,month,day
,Libya,2020-04-11 22:45:13,24,1,8,26.3351,17.228331,Apr11,2020,4,11
,Liechtenstein,2020-04-11 22:45:13,79,1,55,47.14,9.55,Apr11,2020,4,11
,Lithuania,2020-04-11 22:45:13,1026,23,54,55.1694,23.8813,Apr11,2020,4,11
,Luxembourg,2020-04-11 22:45:13,3270,62,500,49.8153,6.1296,Apr11,2020,4,11
,MS Zaandam,2020-04-11 22:45:13,9,2,0,,,Apr11,2020,4,11
,Madagascar,2020-04-11 22:45:13,102,0,11,-18.766947,46.869107,Apr11,2020,4,11
,Malawi,2020-04-11 22:45:13,12,2,0,-13.254307999999998,34.301525,Apr11,2020,4,11
,Malaysia,2020-04-11 22:45:13,4530,73,1995,4.210483999999999,101.975766,Apr11,2020,4,11
,Maldives,2020-04-11 22:45:13,19,0,13,3.2028,73.2207,Apr11,2020,4,11
,Mali,2020-04-11 22:45:13,87,7,22,17.570692,-3.996166000000001,Apr11,2020,4,11
,Malta,2020-04-11 22:45:13,370,3,16,35.9375,14.3754,Apr11,2020,4,11
,Mauritania,2020-04-11 22:45:13,7,1,2,21.0079,-10.9408,Apr11,2020,4,11
,Mauritius,2020-04-11 22:45:13,319,9,28,-20.348404,57.552152,Apr11,2020,4,11
,Mexico,2020-04-11 22:45:13,3844,233,633,23.6345,-102.5528,Apr11,2020,4,11
,Moldova,2020-04-11 22:45:13,1560,30,75,47.4116,28.3699,Apr11,2020,4,11
,Monaco,2020-04-11 22:45:13,92,1,5,43.7333,7.4167,Apr11,2020,4,11
,Mongolia,2020-04-11 22:45:13,16,0,4,46.8625,103.8467,Apr11,2020,4,11
,Montenegro,2020-04-11 22:45:13,263,2,5,42.708678000000006,19.37439,Apr11,2020,4,11
,Morocco,2020-04-11 22:45:13,1545,111,146,31.7917,-7.0926,Apr11,2020,4,11
,Mozambique,2020-04-11 22:45:13,20,0,2,-18.665695,35.529562,Apr11,2020,4,11
,Namibia,2020-04-11 22:45:13,16,0,3,-22.9576,18.4904,Apr11,2020,4,11
,Nepal,2020-04-11 22:45:13,9,0,1,28.1667,84.25,Apr11,2020,4,11
,Netherlands,2020-04-11 22:45:13,24413,2643,250,52.1326,5.2913,Apr11,2020,4,11
,New Zealand,2020-04-11 22:45:13,1312,4,422,-40.9006,174.886,Apr11,2020,4,11
,Nicaragua,2020-04-11 22:45:13,8,1,0,12.865416,-85.207229,Apr11,2020,4,11
,Niger,2020-04-11 22:45:13,491,11,41,17.607789,8.081666,Apr11,2020,4,11
,Nigeria,2020-04-11 22:45:13,318,10,70,9.082,8.6753,Apr11,2020,4,11
,North Macedonia,2020-04-11 22:45:13,760,34,41,41.6086,21.7453,Apr11,2020,4,11
,Norway,2020-04-11 22:45:13,6409,119,32,60.472,8.4689,Apr11,2020,4,11
,Oman,2020-04-11 22:45:13,546,3,109,21.512583,55.92325500000001,Apr11,2020,4,11
,Pakistan,2020-04-11 22:45:13,5011,86,762,30.3753,69.3451,Apr11,2020,4,11
